"iso3","year","value","indicator_code","indicator_name"
"MWI",2012,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"KEN",2024,76,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"KWT",2024,94,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"COG",2018,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"CAN",2022,79,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"BFA",2020,71,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"AND",2000,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"COL",2000,84,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"ISR",2008,91,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"NLD",2017,90,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"DOM",2004,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"LTU",2002,95,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"HRV",2010,98,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"VUT",2015,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"GAB",2017,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"BDI",2023,80,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"SOM",2018,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"MDG",2000,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"VUT",2006,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"EGY",2019,94,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
"BLZ",2004,0,"MCV2","Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)"
